Nazwa_produktu;Nazwa;Typ;Rodzaj;Url_obrazka;Producent;Oznaczenie;Typ_dodatku_do_żywności;Opis;Choroba;Nazwa_zwyczajowa
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;E290;Konserwant;"Nieorganiczny związek chemiczny z grupy tlenków, w którym węgiel występuje na IV stopniu utlenienia. W temperaturze pokojowej jest to bezbarwny, bezwonny i niepalny gaz o kwaskowatym smaku, rozpuszczalny w wodzie (1,7 l CO2/l H2O i cięższy od powietrza (ok. 1,5 raza). Pod normalnym ciśnieniem przechodzi ze stanu stałego do gazowego (sublimuje) z pominięciem fazy ciekłej w temperaturze −78,5 °C. Można go jednak skroplić pod zwiększonym ciśnieniem, np. pod ciśnieniem 34 atm) skrapla się w temperaturze 0 °C. W naturze występuje w stanie wolnym w atmosferze i związanym (np. Jako składnik CaCO3).
Dwutlenek węgla jest produktem spalania i oddychania. Jest wykorzystywany przez rośliny w procesie fotosyntezy. Tworzy się przy utlenianiu i fermentacji substancji organicznych. Występuje w kopalniach, cukrowniach, gorzelniach, wytwórniach win, silosach zbożowych, browarach i studzienkach kanalizacyjnych. W małych stężeniach nie jest trujący, w większych stężeniach dwutlenek węgla jest szkodliwy dla zdrowia, a nawet zabójczy, a jego działanie powoduje powstawanie hiperkapni, a co za tym idzie kwasicy oddechowej i w następstwie obrzęku mózgu.";;Dwutlenek Węgla
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;"

E150d";Barwnik;"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 mg/kg masy ciała. W większych dawkach może wywoływać nadpobudliwość i rozwolnienie. Jest toksyczny dla krwi szczurów. U królików hamuje metabolizm witaminy B6. Jest także uznawany za przyczynę powstawania nadciśnienia oraz nowotworów a także obniżenia liczby białych krwinek w krwioobiegu.";Problemy jelitowe; Karmel amoniakalno-siarczynowy
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;"

E150d";Barwnik;"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 mg/kg masy ciała. W większych dawkach może wywoływać nadpobudliwość i rozwolnienie. Jest toksyczny dla krwi szczurów. U królików hamuje metabolizm witaminy B6. Jest także uznawany za przyczynę powstawania nadciśnienia oraz nowotworów a także obniżenia liczby białych krwinek w krwioobiegu.";Nowotwór; Karmel amoniakalno-siarczynowy
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;"

E150d";Barwnik;"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 mg/kg masy ciała. W większych dawkach może wywoływać nadpobudliwość i rozwolnienie. Jest toksyczny dla krwi szczurów. U królików hamuje metabolizm witaminy B6. Jest także uznawany za przyczynę powstawania nadciśnienia oraz nowotworów a także obniżenia liczby białych krwinek w krwioobiegu.";Nadciśnienie; Karmel amoniakalno-siarczynowy
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;"

E150d";Barwnik;"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 mg/kg masy ciała. W większych dawkach może wywoływać nadpobudliwość i rozwolnienie. Jest toksyczny dla krwi szczurów. U królików hamuje metabolizm witaminy B6. Jest także uznawany za przyczynę powstawania nadciśnienia oraz nowotworów a także obniżenia liczby białych krwinek w krwioobiegu.";Zmniejszenie liczby białych krwinek w krwioobiegu; Karmel amoniakalno-siarczynowy
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;E338;Regulator kwasowości;Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości tego związku.;Demineralizacja kości;Kwas fosforowy
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;E338;Regulator kwasowości;Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości tego związku.;Choroby nerek;Kwas fosforowy
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;E338;Regulator kwasowości;Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości tego związku.;Kamienie nerkowe;Kwas fosforowy
Pepsi;Pepsi;Napój;Gazowany;nkjnkj;PepsiCo;E338;Przeciwutleniacz;Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości tego związku.;Osteoporoza;Kwas fosforowy
Pepsi;Pepsi Max;Napój;Gazowany;nkjnkj;PepsiCo;E290;Konserwant;"Nieorganiczny związek chemiczny z grupy tlenków, w którym węgiel występuje na IV stopniu utlenienia. W temperaturze pokojowej jest to bezbarwny, bezwonny i niepalny gaz o kwaskowatym smaku, rozpuszczalny w wodzie (1,7 l CO2/l H2O i cięższy od powietrza (ok. 1,5 raza). Pod normalnym ciśnieniem przechodzi ze stanu stałego do gazowego (sublimuje) z pominięciem fazy ciekłej w temperaturze −78,5 °C. Można go jednak skroplić pod zwiększonym ciśnieniem, np. pod ciśnieniem 34 atm) skrapla się w temperaturze 0 °C. W naturze występuje w stanie wolnym w atmosferze i związanym (np. Jako składnik CaCO3).
Dwutlenek węgla jest produktem spalania i oddychania. Jest wykorzystywany przez rośliny w procesie fotosyntezy. Tworzy się przy utlenianiu i fermentacji substancji organicznych. Występuje w kopalniach, cukrowniach, gorzelniach, wytwórniach win, silosach zbożowych, browarach i studzienkach kanalizacyjnych. W małych stężeniach nie jest trujący, w większych stężeniach dwutlenek węgla jest szkodliwy dla zdrowia, a nawet zabójczy, a jego działanie powoduje powstawanie hiperkapni, a co za tym idzie kwasicy oddechowej i w następstwie obrzęku mózgu.";;Dwutlenek Węgla
