Nazwa_produktu,Nazwa,Typ,Rodzaj,Url_obrazka,Producent,Oznaczenie,Typ_dodatku_do_żywności,Opis,Choroba,Nazwa_zwyczajowa
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E290,Konserwant,"Nieorganiczny związek chemiczny z grupy tlenków, w którym węgiel występuje na IV stopniu utlenienia. W temperaturze pokojowej jest to bezbarwny, bezwonny i niepalny gaz o kwaskowatym smaku, rozpuszczalny w wodzie (1,7 l CO2/l H2O i cięższy od powietrza (o",,Dwutlenek Węgla
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E150d,Barwnik,"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 m",Problemy jelitowe, Karmel amoniakalno-siarczynowy
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E150d,Barwnik,"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 m",Nowotwór, Karmel amoniakalno-siarczynowy
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E150d,Barwnik,"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 m",Nadciśnienie, Karmel amoniakalno-siarczynowy
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E150d,Barwnik,"Syntetyczny, brązowy barwnik spożywczy używany do barwienia m.in.: piwa typu porter, napojów typu cola, czekolady, dżemów, wyrobów cukierniczych oraz brązowego sosu do mięs. Może powodować problemy jelitowe.
Jego dopuszczalne dzienne spożycie wynosi 200 m",Zmniejszenie liczby białych krwinek w krwioobiegu, Karmel amoniakalno-siarczynowy
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E338,Regulator kwasowości,"Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości te",Demineralizacja kości,Kwas fosforowy
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E338,Regulator kwasowości,"Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości te",Choroby nerek,Kwas fosforowy
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E338,Regulator kwasowości,"Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości te",Kamienie nerkowe,Kwas fosforowy
Pepsi,Pepsi,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/004/5900497312004/ShotType1_328x328.jpg,PepsiCo,E338,Przeciwutleniacz,"Nieorganiczny związek chemiczny z grupy kwasów tlenowych, składnik kwasów nukleinowych. Kwas fosforowy wiążę się z wapniem a więc jego nadmiar może uszkadzać zęby oraz być przyczyną utraty wapnia w kościach. Trwają badania na temat stopnia szkodliwości te",Osteoporoza,Kwas fosforowy
Pepsi,Pepsi Max,Napój,Napój gazowany,https://secure.ce-tescoassets.com/assets/PL/005/5900497302005/ShotType1_328x328.jpg,PepsiCo,E290,Konserwant,"Nieorganiczny związek chemiczny z grupy tlenków, w którym węgiel występuje na IV stopniu utlenienia. W temperaturze pokojowej jest to bezbarwny, bezwonny i niepalny gaz o kwaskowatym smaku, rozpuszczalny w wodzie (1,7 l CO2/l H2O i cięższy od powietrza (o",,Dwutlenek Węgla
